gaia_source_id,hyg_id,constellation
5.781852439505659e+18,117877,Tuc
2.0216599396971459e+18,117899,Peg
2.0216636849086953e+18,117899,Peg
6.725823059310881e+18,117944,Scl
6.680733225618223e+18,117944,Scl
6.680775174561729e+18,117944,Scl
6.680570704055677e+18,117923,Phe
1.8723190133495196e+18,117929,And
5.408427195142079e+18,117887,Phe
2.0472188734290284e+18,117948,And
6.725820246143063e+18,117944,Scl
6.72581883739373e+18,117944,Scl
5.40842564896261e+18,117887,Phe
2.0216615846395308e+18,117899,Peg
1.87230657081613e+18,117929,And
5.833494576535109e+18,117878,Tuc
1.872318875910566e+18,117929,And
5.800594955255998e+18,117954,Tuc
4.464164650705326e+18,117861,Peg
4.150376264253402e+18,117879,Cet
5.781859414532802e+18,117877,Tuc
4.4641759206993587e+18,117861,Peg
5.408431077801466e+18,117887,Phe
4.4640904680300493e+18,117861,Peg
2.0650964901232412e+18,117901,And
2.0650892402179387e+18,117901,And
6.003864590440034e+18,119613,Phe
6.725814233188489e+18,117944,Scl
4.464019618249551e+18,117950,Peg
5.781847594782285e+18,117877,Tuc
5.836217792045836e+18,117881,Phe
4.650802725139104e+18,117822,Tuc
6.680787720163295e+18,117944,Scl
4.4640604032588303e+18,117861,Peg
4.464032296992957e+18,117861,Peg
6.003864693519249e+18,119613,Phe
6.680563587293204e+18,117923,Phe
6.680668350135166e+18,117923,Phe
5.408433757860902e+18,117887,Phe
4.464033774461707e+18,117861,Peg
4.464072188649094e+18,117861,Peg
4.464032292696003e+18,117861,Peg
5.781839314085211e+18,117877,Tuc
6.680788372998323e+18,117944,Scl
4.464092009921273e+18,117861,Peg
5.781861063800122e+18,117877,Tuc
6.680584894627653e+18,117923,Phe
2.021671175331985e+18,117899,Peg
4.464095690710305e+18,117861,Peg
4.4641612490912256e+18,117861,Peg
6.680569192227188e+18,117923,Phe
4.4641804561848305e+18,117861,Peg
6.725808151495194e+18,117944,Scl
5.781860788922348e+18,117877,Tuc
2.0650883125049815e+18,117901,And
1.8723157835342915e+18,117929,And
2.0650958029284736e+18,117901,And
6.003855828706825e+18,117923,Phe
4.46416379171171e+18,117861,Peg
5.408437125116504e+18,117887,Phe
6.003841500695746e+18,117923,Phe
4.464095725070043e+18,117861,Peg
2.0650865601583457e+18,117901,And
6.003865793030876e+18,119613,Phe
6.680717832455251e+18,117944,Scl
5.781901505212867e+18,117877,Tuc
1.8723170548448876e+18,117929,And
4.464057963717404e+18,117950,Peg
5.781894628965374e+18,117877,Tuc
2.0650810926607785e+18,117901,And
1.8723253699013765e+18,117929,And
5.833480351641606e+18,117878,Tuc
6.680707485877173e+18,117944,Scl
6.680715118035887e+18,117944,Scl
4.150375920655466e+18,117879,Cet
5.408425885179406e+18,117887,Phe
1.8723145465836577e+18,117929,And
4.4641084038135086e+18,117861,Peg
5.781852336426442e+18,117877,Tuc
1.872302039638665e+18,117929,And
6.680703087830663e+18,117923,Phe
6.680736627232323e+18,117944,Scl
6.680711987002898e+18,117944,Scl
2.0650811270205164e+18,117901,And
5.83622555294337e+18,117881,Phe
5.836216177137937e+18,117881,Phe
6.003885137563798e+18,119613,Phe
2.0472138569067732e+18,117948,And
6.003851980416137e+18,117923,Phe
6.003857065657414e+18,117923,Phe
